food_category,id
American,4bf58dd8d48988d14e941735
Australian,4bf58dd8d48988d169941735
Eastern European,4bf58dd8d48988d109941735
English,52e81612bcbc57f1066b7a05
French,4bf58dd8d48988d10c941735
Halal,52e81612bcbc57f1066b79ff
Indian,4bf58dd8d48988d10f941735
Latin American,4bf58dd8d48988d1be941735
Mexican,4bf58dd8d48988d1c1941735
Burrito,4bf58dd8d48988d153941735
Taco,4bf58dd8d48988d151941735
Middle Eastern,4bf58dd8d48988d115941735
Egyptian,5bae9231bedf3950379f89e1
Iraqi,5bae9231bedf3950379f89e7
Israeli,56aa371be4b08b9a8d573529
Kurdish,5744ccdfe4b0c0459246b4ca
Lebanese,58daa1558bbb0b01f18ec1cd
Persian,52e81612bcbc57f1066b79f7
Modern European,52e81612bcbc57f1066b79f9
Seafood,4bf58dd8d48988d1ce941735
Spanish,4bf58dd8d48988d150941735
Sri Lankan,5413605de4b0ae91d18581a9
Chinese,4bf58dd8d48988d145941735
Dim Sum,4bf58dd8d48988d1f5931735
Szechuan,52af3b773cf9994f4e043c03
Indonesian,4deefc054765f83613cdba6f
Acehnese,52960eda3cf9994f4e043ac9
Balinese,52960eda3cf9994f4e043acb
Betawinese,52960eda3cf9994f4e043aca
Indonesian Meatball,52960eda3cf9994f4e043acc
Javanese,52960eda3cf9994f4e043ac7
Manadonese,52960eda3cf9994f4e043ac8
Padangnese,52960eda3cf9994f4e043ac5
Sundanese,52960eda3cf9994f4e043ac6
Japanese,4bf58dd8d48988d111941735
Japanese Curry,55a59bace4b013909087cb30
Ramen,55a59bace4b013909087cb24
Shabu-Shabu,55a59bace4b013909087cb15
Soba,55a59bace4b013909087cb27
Sushi,4bf58dd8d48988d1d2941735
Udon,55a59bace4b013909087cb2a
Korean,4bf58dd8d48988d113941735
Malay,4bf58dd8d48988d156941735
Noodle House,4bf58dd8d48988d1d1941735
Satay,56aa371be4b08b9a8d57350e
Thai,4bf58dd8d48988d149941735
Bistro,52e81612bcbc57f1066b79f1
Buffet,52e81612bcbc57f1066b79f4
Dumpling,4bf58dd8d48988d108941735
Indian Chinese,54135bf5e4b08f3d2429dfdf
North Indian,54135bf5e4b08f3d2429dfdd
South Indian,54135bf5e4b08f3d2429dfde
Italian,4bf58dd8d48988d110941735
Kebab,5283c7b4e4b094cb91ec88d7
Pakistani,52e81612bcbc57f1066b79f8
Pizza,4bf58dd8d48988d1ca941735
Steakhouse,4bf58dd8d48988d1cc941735
Vegetarian,4bf58dd8d48988d1d3941735